source_sheet,field_season,kml_stop_id,longitude,latitude
2018-points,2018,AS-05-22-18-6B,104.2798194444444,31.64678055555556
2018-points,2018,AS-05-22-18-7,104.276625,31.64721944444445
2018-points,2018,AS-05-22-18-8,104.2645555555556,31.641675
2018-points,2018,AS-05-22-18-9,104.2616944444444,31.64452777777778
2018-points,2018,AS-05-22-18-10,104.2650055555556,31.64869722222222
2018-points,2018,AS-05-22-18-11,104.2669805555556,31.65008611111112
2018-points,2018,AS-05-22-18-12,104.2700611111111,31.65358333333333
2018-points,2018,AS-05-22-18-13A,104.2682083333333,31.65383888888889
2018-points,2018,AS-05-22-18-13B,104.2679694444445,31.65504722222222
2018-points,2018,AS-05-22-18-14,104.2681611111111,31.65783888888889
2018-points,2018,AS-05-22-18-15,104.2705833333333,31.66280277777779
2018-points,2018,AS-05-22-18-16,104.2691583333333,31.66813333333333
2018-points,2018,AS-05-22-18-17,104.2746055555556,31.67625
2018-points,2018,AS-05-22-18-18,104.2732777777778,31.68029444444445
2018-points,2018,AS-05-22-18-19,104.2765,31.70279166666666
2018-points,2018,AS-05-22-18-20,104.2726694444445,31.70446111111111
2018-points,2018,AS-05-22-18-21,104.2723388888889,31.70502222222223
2018-points,2018,AS-05-22-18-22,104.2704694444444,31.70766111111111
2018-points,2018,AS-05-22-18-23A,104.2698611111111,31.70808611111112
2018-points,2018,AS-05-22-18-23B,104.2698611111111,31.70808611111112
2018-points,2018,AS-05-22-18-24A,104.2655388888889,31.71115
2018-points,2018,AS-05-22-18-24B,104.2644333333333,31.71131388888889
2018-points,2018,AS-05-22-18-25,104.2616194444444,31.71260833333333
2018-points,2018,AS-05-22-18-26,104.2571611111111,31.72145555555555
2018-points,2018,AS-05-22-18-27,104.2562277777778,31.72453888888889
2018-points,2018,AS-05-22-18-28,104.2541166666667,31.72900555555556
2018-points,2018,AS-05-22-18-29A,104.2520583333334,31.7302
2018-points,2018,AS-05-22-18-29B,104.2516694444445,31.73041388888889
2018-points,2018,AS-05-22-18-29C,104.2515444444445,31.73065833333333
2018-points,2018,AS-05-22-18-30A,104.2526083333333,31.73158055555555
2018-points,2018,AS-05-22-18-30B,104.2533694444444,31.73117222222222
2018-points,2018,AS-05-22-18-31,104.2557527777778,31.73136388888888
2018-points,2018,AS-05-22-18-32,104.2587444444445,31.73588055555555
2018-points,2018,AS-05-22-18-33,104.2586055555556,31.73684166666667
2018-points,2018,AS-05-22-18-34,104.2583777777778,31.73751388888889
2018-points,2018,AS-05-22-18-35,104.2576,31.74058611111111
2018-points,2018,AS-05-23-18-1,104.79805,32.16905833333333
2018-points,2018,AS-05-24-18-1,104.2337305555556,32.48992777777778
2018-points,2018,AS-05-24-18-2,104.2384,32.49146666666667
2018-points,2018,AS-05-24-18-3A,104.2445611111111,32.49003055555556
2018-points,2018,AS-05-24-18-3B,104.2448222222222,32.48803055555555
2018-points,2018,AS-05-24-18-4A,104.2477138888889,32.48768611111111
2018-points,2018,AS-05-24-18-4B,104.2485,32.48800833333333
2018-points,2018,AS-05-24-18-4C,104.2504361111111,32.48788611111111
2018-points,2018,AS-05-24-18-5,104.2558083333333,32.49027777777778
2018-points,2018,AS-05-24-18-6,104.2579083333333,32.48901111111111
2018-points,2018,AS-05-24-18-7,104.2665138888889,32.48883888888889
2018-points,2018,AS-05-24-18-8,104.2706111111111,32.48929166666667
2018-points,2018,AS-05-24-18-9,104.2714861111111,32.48930555555555
2018-points,2018,AS-05-24-18-10,104.2767944444445,32.49060555555555
2018-points,2018,AS-05-24-18-11,104.2846416666667,32.49656388888889
2018-points,2018,AS-05-24-18-12,104.2879666666667,32.49795277777778
2018-points,2018,AS-05-24-18-13,104.2958333333334,32.49592222222223
2018-points,2018,AS-05-24-18-14,104.3029611111111,32.49656388888889
2018-points,2018,AS-05-24-18-15,104.3078972222222,32.49570277777778
2018-points,2018,AS-05-24-18-16,104.3170444444444,32.49670555555556
